The Absolute Way;Relative Way;Class
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0002.jpg;dataset/dataset_another/zebra_0002.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0003.jpg;dataset/dataset_another/zebra_0003.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0004.jpg;dataset/dataset_another/zebra_0004.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0005.jpg;dataset/dataset_another/zebra_0005.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0006.jpg;dataset/dataset_another/zebra_0006.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0007.jpg;dataset/dataset_another/zebra_0007.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0008.jpg;dataset/dataset_another/zebra_0008.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0009.jpg;dataset/dataset_another/zebra_0009.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0010.jpg;dataset/dataset_another/zebra_0010.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0011.jpg;dataset/dataset_another/zebra_0011.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0012.jpg;dataset/dataset_another/zebra_0012.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0013.jpg;dataset/dataset_another/zebra_0013.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0014.jpg;dataset/dataset_another/zebra_0014.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0015.jpg;dataset/dataset_another/zebra_0015.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0016.jpg;dataset/dataset_another/zebra_0016.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0017.jpg;dataset/dataset_another/zebra_0017.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0018.jpg;dataset/dataset_another/zebra_0018.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0019.jpg;dataset/dataset_another/zebra_0019.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0020.jpg;dataset/dataset_another/zebra_0020.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0021.jpg;dataset/dataset_another/zebra_0021.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0022.jpg;dataset/dataset_another/zebra_0022.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0023.jpg;dataset/dataset_another/zebra_0023.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0024.jpg;dataset/dataset_another/zebra_0024.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0025.jpg;dataset/dataset_another/zebra_0025.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0026.jpg;dataset/dataset_another/zebra_0026.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0027.jpg;dataset/dataset_another/zebra_0027.jpg;zebra
C:\Users\student\PycharmProjects\pp_lab2-main\dataset\dataset_another\zebra_0028.jpg;dataset/dataset_another/zebra_0028.jpg;zebra
