The Absolute Way;Relative Way;Class
C:\labs\pp_lab3\dataset\dataset_number\0482.jpg;dataset/dataset_number/0482.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2788.jpg;dataset/dataset_number/2788.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9156.jpg;dataset/dataset_number/9156.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6068.jpg;dataset/dataset_number/6068.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3063.jpg;dataset/dataset_number/3063.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9093.jpg;dataset/dataset_number/9093.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1088.jpg;dataset/dataset_number/1088.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3122.jpg;dataset/dataset_number/3122.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4219.jpg;dataset/dataset_number/4219.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7594.jpg;dataset/dataset_number/7594.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0133.jpg;dataset/dataset_number/0133.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0929.jpg;dataset/dataset_number/0929.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9676.jpg;dataset/dataset_number/9676.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8951.jpg;dataset/dataset_number/8951.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3562.jpg;dataset/dataset_number/3562.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6697.jpg;dataset/dataset_number/6697.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6129.jpg;dataset/dataset_number/6129.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8176.jpg;dataset/dataset_number/8176.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2478.jpg;dataset/dataset_number/2478.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0645.jpg;dataset/dataset_number/0645.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2180.jpg;dataset/dataset_number/2180.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7792.jpg;dataset/dataset_number/7792.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8892.jpg;dataset/dataset_number/8892.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3679.jpg;dataset/dataset_number/3679.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2525.jpg;dataset/dataset_number/2525.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6219.jpg;dataset/dataset_number/6219.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7606.jpg;dataset/dataset_number/7606.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4617.jpg;dataset/dataset_number/4617.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0288.jpg;dataset/dataset_number/0288.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6052.jpg;dataset/dataset_number/6052.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7246.jpg;dataset/dataset_number/7246.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5476.jpg;dataset/dataset_number/5476.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4919.jpg;dataset/dataset_number/4919.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2277.jpg;dataset/dataset_number/2277.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1348.jpg;dataset/dataset_number/1348.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0198.jpg;dataset/dataset_number/0198.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3264.jpg;dataset/dataset_number/3264.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3487.jpg;dataset/dataset_number/3487.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7987.jpg;dataset/dataset_number/7987.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4791.jpg;dataset/dataset_number/4791.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5615.jpg;dataset/dataset_number/5615.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4689.jpg;dataset/dataset_number/4689.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7008.jpg;dataset/dataset_number/7008.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3940.jpg;dataset/dataset_number/3940.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3490.jpg;dataset/dataset_number/3490.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7143.jpg;dataset/dataset_number/7143.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6920.jpg;dataset/dataset_number/6920.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3437.jpg;dataset/dataset_number/3437.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0006.jpg;dataset/dataset_number/0006.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8902.jpg;dataset/dataset_number/8902.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4187.jpg;dataset/dataset_number/4187.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5267.jpg;dataset/dataset_number/5267.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4846.jpg;dataset/dataset_number/4846.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4982.jpg;dataset/dataset_number/4982.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4917.jpg;dataset/dataset_number/4917.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8452.jpg;dataset/dataset_number/8452.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9668.jpg;dataset/dataset_number/9668.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8545.jpg;dataset/dataset_number/8545.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3690.jpg;dataset/dataset_number/3690.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4444.jpg;dataset/dataset_number/4444.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8165.jpg;dataset/dataset_number/8165.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6240.jpg;dataset/dataset_number/6240.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0109.jpg;dataset/dataset_number/0109.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7355.jpg;dataset/dataset_number/7355.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2421.jpg;dataset/dataset_number/2421.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7304.jpg;dataset/dataset_number/7304.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4559.jpg;dataset/dataset_number/4559.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5238.jpg;dataset/dataset_number/5238.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1143.jpg;dataset/dataset_number/1143.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1837.jpg;dataset/dataset_number/1837.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6687.jpg;dataset/dataset_number/6687.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0821.jpg;dataset/dataset_number/0821.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9226.jpg;dataset/dataset_number/9226.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6921.jpg;dataset/dataset_number/6921.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0663.jpg;dataset/dataset_number/0663.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5076.jpg;dataset/dataset_number/5076.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6818.jpg;dataset/dataset_number/6818.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1325.jpg;dataset/dataset_number/1325.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1487.jpg;dataset/dataset_number/1487.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0876.jpg;dataset/dataset_number/0876.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6709.jpg;dataset/dataset_number/6709.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9306.jpg;dataset/dataset_number/9306.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3053.jpg;dataset/dataset_number/3053.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7316.jpg;dataset/dataset_number/7316.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2494.jpg;dataset/dataset_number/2494.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7603.jpg;dataset/dataset_number/7603.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9722.jpg;dataset/dataset_number/9722.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2512.jpg;dataset/dataset_number/2512.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5418.jpg;dataset/dataset_number/5418.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8837.jpg;dataset/dataset_number/8837.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1921.jpg;dataset/dataset_number/1921.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6458.jpg;dataset/dataset_number/6458.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1514.jpg;dataset/dataset_number/1514.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8990.jpg;dataset/dataset_number/8990.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6307.jpg;dataset/dataset_number/6307.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6713.jpg;dataset/dataset_number/6713.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8871.jpg;dataset/dataset_number/8871.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3172.jpg;dataset/dataset_number/3172.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2593.jpg;dataset/dataset_number/2593.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7385.jpg;dataset/dataset_number/7385.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8691.jpg;dataset/dataset_number/8691.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5849.jpg;dataset/dataset_number/5849.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1931.jpg;dataset/dataset_number/1931.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7159.jpg;dataset/dataset_number/7159.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5997.jpg;dataset/dataset_number/5997.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8592.jpg;dataset/dataset_number/8592.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3502.jpg;dataset/dataset_number/3502.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3786.jpg;dataset/dataset_number/3786.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1293.jpg;dataset/dataset_number/1293.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8179.jpg;dataset/dataset_number/8179.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1450.jpg;dataset/dataset_number/1450.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0269.jpg;dataset/dataset_number/0269.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5952.jpg;dataset/dataset_number/5952.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2603.jpg;dataset/dataset_number/2603.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6732.jpg;dataset/dataset_number/6732.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0865.jpg;dataset/dataset_number/0865.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4905.jpg;dataset/dataset_number/4905.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7600.jpg;dataset/dataset_number/7600.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3349.jpg;dataset/dataset_number/3349.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0967.jpg;dataset/dataset_number/0967.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9670.jpg;dataset/dataset_number/9670.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4775.jpg;dataset/dataset_number/4775.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7323.jpg;dataset/dataset_number/7323.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0190.jpg;dataset/dataset_number/0190.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6774.jpg;dataset/dataset_number/6774.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2928.jpg;dataset/dataset_number/2928.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8503.jpg;dataset/dataset_number/8503.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2093.jpg;dataset/dataset_number/2093.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7449.jpg;dataset/dataset_number/7449.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0615.jpg;dataset/dataset_number/0615.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2702.jpg;dataset/dataset_number/2702.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3209.jpg;dataset/dataset_number/3209.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8118.jpg;dataset/dataset_number/8118.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9803.jpg;dataset/dataset_number/9803.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8647.jpg;dataset/dataset_number/8647.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2719.jpg;dataset/dataset_number/2719.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6989.jpg;dataset/dataset_number/6989.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1391.jpg;dataset/dataset_number/1391.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0811.jpg;dataset/dataset_number/0811.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3653.jpg;dataset/dataset_number/3653.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1495.jpg;dataset/dataset_number/1495.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9598.jpg;dataset/dataset_number/9598.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8498.jpg;dataset/dataset_number/8498.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2538.jpg;dataset/dataset_number/2538.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6641.jpg;dataset/dataset_number/6641.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7681.jpg;dataset/dataset_number/7681.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8814.jpg;dataset/dataset_number/8814.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8182.jpg;dataset/dataset_number/8182.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7077.jpg;dataset/dataset_number/7077.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7051.jpg;dataset/dataset_number/7051.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8100.jpg;dataset/dataset_number/8100.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7882.jpg;dataset/dataset_number/7882.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9794.jpg;dataset/dataset_number/9794.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6804.jpg;dataset/dataset_number/6804.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7017.jpg;dataset/dataset_number/7017.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1611.jpg;dataset/dataset_number/1611.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5471.jpg;dataset/dataset_number/5471.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8890.jpg;dataset/dataset_number/8890.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9974.jpg;dataset/dataset_number/9974.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4236.jpg;dataset/dataset_number/4236.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8776.jpg;dataset/dataset_number/8776.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7341.jpg;dataset/dataset_number/7341.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1710.jpg;dataset/dataset_number/1710.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7228.jpg;dataset/dataset_number/7228.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1730.jpg;dataset/dataset_number/1730.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6552.jpg;dataset/dataset_number/6552.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5442.jpg;dataset/dataset_number/5442.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9311.jpg;dataset/dataset_number/9311.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3627.jpg;dataset/dataset_number/3627.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1682.jpg;dataset/dataset_number/1682.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8974.jpg;dataset/dataset_number/8974.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9130.jpg;dataset/dataset_number/9130.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9815.jpg;dataset/dataset_number/9815.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2519.jpg;dataset/dataset_number/2519.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8557.jpg;dataset/dataset_number/8557.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7161.jpg;dataset/dataset_number/7161.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6978.jpg;dataset/dataset_number/6978.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1117.jpg;dataset/dataset_number/1117.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9855.jpg;dataset/dataset_number/9855.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5920.jpg;dataset/dataset_number/5920.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8678.jpg;dataset/dataset_number/8678.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7669.jpg;dataset/dataset_number/7669.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8265.jpg;dataset/dataset_number/8265.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5929.jpg;dataset/dataset_number/5929.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7490.jpg;dataset/dataset_number/7490.jpg;zebra
